type	cobo	asad	aget	chan	det	row	col	num	nom
0	0	1	1	32	-1	23	21	0	TPC
0	0	1	1	33	-1	22	27	0	TPC
0	0	1	1	34	-1	25	17	0	TPC
0	0	1	1	35	-1	22	16	0	TPC
0	0	1	1	36	-1	22	29	0	TPC
0	0	1	1	37	-1	23	26	0	TPC
0	0	1	1	38	-1	26	20	0	TPC
0	0	1	1	39	-1	25	19	0	TPC
0	0	1	1	40	-1	24	31	0	TPC
0	0	1	1	41	-1	24	25	0	TPC
0	0	1	1	42	-1	24	18	0	TPC
0	0	1	1	43	-1	27	17	0	TPC
0	0	1	1	44	-1	23	28	0	TPC
0	0	1	1	45	-1	-1	-1	0	TPC
0	0	1	1	46	-1	22	23	0	TPC
0	0	1	1	47	-1	23	19	0	TPC
0	0	1	1	48	-1	26	16	0	TPC
0	0	1	1	49	-1	24	27	0	TPC
0	0	1	1	50	-1	23	22	0	TPC
0	0	1	1	51	-1	27	31	0	TPC
0	0	1	1	52	-1	22	20	0	TPC
0	0	1	1	53	-1	22	25	0	TPC
0	0	1	1	54	-1	23	24	0	TPC
0	0	1	1	55	-1	24	22	0	TPC
0	0	1	1	56	-1	-1	-1	0	TPC
0	0	1	1	57	-1	26	30	0	TPC
0	0	1	1	58	-1	22	19	0	TPC
0	0	1	1	59	-1	24	23	0	TPC
0	0	1	1	60	-1	23	23	0	TPC
0	0	1	1	61	-1	25	29	0	TPC
0	0	1	1	62	-1	24	17	0	TPC
0	0	1	1	63	-1	22	21	0	TPC
0	0	1	1	64	-1	24	26	0	TPC
0	0	1	1	65	-1	27	27	0	TPC
0	0	1	1	66	-1	22	24	0	TPC
0	0	1	1	67	-1	23	18	0	TPC
0	0	1	2	0	-1	22	40	0	TPC
0	0	1	2	1	-1	27	34	0	TPC
0	0	1	2	2	-1	27	43	0	TPC
0	0	1	2	3	-1	24	42	0	TPC
0	0	1	2	4	-1	25	47	0	TPC
0	0	1	2	5	-1	25	36	0	TPC
0	0	1	2	6	-1	25	45	0	TPC
0	0	1	2	7	-1	23	39	0	TPC
0	0	1	2	8	-1	27	45	0	TPC
0	0	1	2	9	-1	26	33	0	TPC
0	0	1	2	10	-1	26	46	0	TPC
0	0	1	2	11	-1	-1	-1	0	TPC
0	0	1	2	12	-1	24	38	0	TPC
0	0	1	2	13	-1	26	44	0	TPC
0	0	1	2	14	-1	25	32	0	TPC
0	0	1	2	15	-1	22	36	0	TPC
0	0	1	2	16	-1	27	47	0	TPC
0	0	1	2	17	-1	26	47	0	TPC
0	0	1	2	18	-1	25	43	0	TPC
0	0	1	2	19	-1	26	38	0	TPC
0	0	1	2	20	-1	26	32	0	TPC
0	0	1	2	21	-1	27	41	0	TPC
0	0	1	2	22	-1	-1	-1	0	TPC
0	0	1	2	23	-1	25	46	0	TPC
0	0	1	2	24	-1	23	35	0	TPC
0	0	1	2	25	-1	27	33	0	TPC
0	0	1	2	26	-1	26	40	0	TPC
0	0	1	2	27	-1	27	44	0	TPC
0	0	1	2	28	-1	24	34	0	TPC
0	0	1	2	29	-1	25	35	0	TPC
0	0	1	2	30	-1	25	39	0	TPC
0	0	1	2	31	-1	27	37	0	TPC
0	0	1	2	32	-1	26	36	0	TPC
0	0	1	2	33	-1	22	32	0	TPC
0	0	1	2	34	-1	26	43	0	TPC
0	0	1	2	35	-1	25	42	0	TPC
0	0	1	2	36	-1	22	34	0	TPC
0	0	1	2	37	-1	25	33	0	TPC
0	0	1	2	38	-1	27	46	0	TPC
0	0	1	2	39	-1	26	45	0	TPC
0	0	1	2	40	-1	24	36	0	TPC
0	0	1	2	41	-1	26	34	0	TPC
0	0	1	2	42	-1	27	40	0	TPC
0	0	1	2	43	-1	25	44	0	TPC
0	0	1	2	44	-1	23	33	0	TPC
0	0	1	2	45	-1	-1	-1	0	TPC
0	0	1	2	46	-1	27	35	0	TPC
0	0	1	2	47	-1	26	39	0	TPC
0	0	1	2	48	-1	27	42	0	TPC
0	0	1	2	49	-1	24	32	0	TPC
0	0	1	2	50	-1	25	37	0	TPC
0	0	1	2	51	-1	26	41	0	TPC
0	0	1	2	52	-1	25	38	0	TPC
0	0	1	2	53	-1	23	47	0	TPC
0	0	1	2	54	-1	24	46	0	TPC
0	0	1	2	55	-1	27	36	0	TPC
0	0	1	2	56	-1	-1	-1	0	TPC
0	0	1	2	57	-1	25	40	0	TPC
0	0	1	2	58	-1	27	39	0	TPC
0	0	1	2	59	-1	22	44	0	TPC
0	0	1	2	60	-1	26	35	0	TPC
0	0	1	2	61	-1	27	38	0	TPC
0	0	1	2	62	-1	26	42	0	TPC
0	0	1	2	63	-1	23	43	0	TPC
0	0	1	2	64	-1	27	32	0	TPC
0	0	1	2	65	-1	26	37	0	TPC
0	0	1	2	66	-1	25	34	0	TPC
0	0	1	2	67	-1	25	41	0	TPC
0	0	1	3	0	-1	24	51	0	TPC
0	0	1	3	1	-1	25	57	0	TPC
0	0	1	3	2	-1	22	62	0	TPC
