pad	cobo	asad	aget	chan	row	col	a[keV/ch] b[keV]
1083	1	1	1	60	8	19	1	0
1093	1	1	1	61	9	22	1	0
1104	1	1	1	62	8	26	1	0
1059	1	1	1	63	5	27	1	0
1075	1	1	1	64	9	16	1	0
1089	1	1	1	65	8	21	1	0
1079	1	1	1	66	7	18	1	0
1100	1	1	1	67	7	25	1	0
759		1	1	2	0	7	34	1	0
520		1	1	2	1	11	34	1	0
769		1	1	2	2	8	37	1	0
755		1	1	2	3	9	32	1	0
530		1	1	2	4	10	37	1	0
516		1	1	2	5	12	33	1	0
773		1	1	2	6	9	38	1	0
763		1	1	2	7	8	35	1	0
534		1	1	2	8	12	39	1	0
524		1	1	2	9	10	35	1	0
777		1	1	2	10	7	40	1	0
-1		1	1	2	11	-1	-1	1	0
767		1	1	2	12	9	36	1	0
538		1	1	2	13	11	40	1	0
528		1	1	2	14	12	37	1	0
771		1	1	2	15	7	38	1	0
781		1	1	2	16	8	41	1	0
532		1	1	2	17	11	38	1	0
542		1	1	2	18	10	41	1	0
753		1	1	2	19	7	32	1	0
785		1	1	2	20	9	42	1	0
546		1	1	2	21	12	43	1	0
-1		1	1	2	22	-1	-1	1	0
536		1	1	2	23	10	39	1	0
775		1	1	2	24	8	39	1	0
789		1	1	2	25	7	44	1	0
550		1	1	2	26	11	44	1	0
540		1	1	2	27	12	41	1	0
779		1	1	2	28	9	40	1	0
793		1	1	2	29	8	45	1	0
554		1	1	2	30	10	45	1	0
558		1	1	2	31	12	47	1	0
797		1	1	2	32	9	46	1	0
783		1	1	2	33	7	42	1	0
544		1	1	2	34	11	42	1	0
548		1	1	2	35	10	43	1	0
774		1	1	2	36	7	39	1	0
787		1	1	2	37	8	43	1	0
529		1	1	2	38	11	37	1	0
533		1	1	2	39	10	38	1	0
770		1	1	2	40	9	37	1	0
791		1	1	2	41	9	44	1	0
552		1	1	2	42	12	45	1	0
537		1	1	2	43	12	40	1	0
778		1	1	2	44	8	40	1	0
-1		1	1	2	45	-1	-1	1	0
795		1	1	2	46	7	46	1	0
556		1	1	2	47	11	46	1	0
541		1	1	2	48	11	41	1	0
782		1	1	2	49	9	41	1	0
799		1	1	2	50	8	47	1	0
545		1	1	2	51	10	42	1	0
560		1	1	2	52	10	47	1	0
786		1	1	2	53	7	43	1	0
790		1	1	2	54	8	44	1	0
514		1	1	2	55	11	32	1	0
-1		1	1	2	56	-1	-1	1	0
549		1	1	2	57	12	44	1	0
757		1	1	2	58	8	33	1	0
794		1	1	2	59	9	45	1	0
518		1	1	2	60	10	33	1	0
553		1	1	2	61	11	45	1	0
765		1	1	2	62	7	36	1	0
798		1	1	2	63	7	47	1	0
526		1	1	2	64	11	36	1	0
557		1	1	2	65	10	46	1	0
522		1	1	2	66	12	35	1	0
761		1	1	2	67	9	34	1	0
855		1	1	3	0	13	50	1	0
616		1	1	3	1	5	50	1	0
865		1	1	3	2	14	53	1	0
851		1	1	3	3	15	48	1	0
626		1	1	3	4	4	53	1	0
612		1	1	3	5	6	49	1	0
869		1	1	3	6	15	54	1	0
859		1	1	3	7	14	51	1	0
630		1	1	3	8	6	55	1	0
620		1	1	3	9	4	51	1	0
873		1	1	3	10	13	56	1	0
-1		1	1	3	11	-1	-1	1	0
863		1	1	3	12	15	52	1	0
634		1	1	3	13	5	56	1	0
624		1	1	3	14	6	53	1	0
867		1	1	3	15	13	54	1	0
877		1	1	3	16	14	57	1	0
628		1	1	3	17	5	54	1	0
638		1	1	3	18	4	57	1	0
849		1	1	3	19	13	48	1	0
881		1	1	3	20	15	58	1	0
642		1	1	3	21	6	59	1	0
-1		1	1	3	22	-1	-1	1	0
632		1	1	3	23	4	55	1	0
871		1	1	3	24	14	55	1	0
885		1	1	3	25	13	60	1	0
646		1	1	3	26	5	60	1	0
636		1	1	3	27	6	57	1	0
875		1	1	3	28	15	56	1	0
889		1	1	3	29	14	61	1	0
650		1	1	3	30	4	61	1	0
654		1	1	3	31	6	63	1	0
893		1	1	3	32	15	62	1	0
879		1	1	3	33	13	58	1	0
640		1	1	3	34	5	58	1	0
644		1	1	3	35	4	59	1	0
870		1	1	3	36	13	55	1	0
883		1	1	3	37	14	59	1	0
625		1	1	3	38	5	53	1	0
629		1	1	3	39	4	54	1	0
866		1	1	3	40	15	53	1	0
887		1	1	3	41	15	60	1	0
648		1	1	3	42	6	61	1	0
633		1	1	3	43	6	56	1	0
874		1	1	3	44	14	56	1	0
-1		1	1	3	45	-1	-1	1	0
891		1	1	3	46	13	62	1	0
652		1	1	3	47	5	62	1	0
637		1	1	3	48	5	57	1	0
878		1	1	3	49	15	57	1	0
895		1	1	3	50	14	63	1	0
641		1	1	3	51	4	58	1	0
656		1	1	3	52	4	63	1	0
882		1	1	3	53	13	59	1	0
886		1	1	3	54	14	60	1	0
610		1	1	3	55	5	48	1	0
-1		1	1	3	56	-1	-1	1	0
645		1	1	3	57	6	60	1	0
853		1	1	3	58	14	49	1	0
890		1	1	3	59	15	61	1	0
614		1	1	3	60	4	49	1	0
649		1	1	3	61	5	61	1	0
861		1	1	3	62	13	52	1	0
894		1	1	3	63	13	63	1	0
622		1	1	3	64	5	52	1	0
653		1	1	3	65	4	62	1	0
618		1	1	3	66	6	51	1	0
857		1	1	3	67	15	50	1	0
1367	1	2	0	0	13	2	1	0
1128	1	2	0	1	5	2	1	0
1377	1	2	0	2	14	5	1	0
1363	1	2	0	3	15	0	1	0
1138	1	2	0	4	4	5	1	0
1124	1	2	0	5	6	1	1	0
1381	1	2	0	6	15	6	1	0
1371	1	2	0	7	14	3	1	0
1142	1	2	0	8	6	7	1	0
1132	1	2	0	9	4	3	1	0
1385	1	2	0	10	13	8	1	0
-1		1	2	0	11	-1	-1	1	0
1375	1	2	0	12	15	4	1	0
1146	1	2	0	13	5	8	1	0
1136	1	2	0	14	6	5	1	0
1379	1	2	0	15	13	6	1	0
1389	1	2	0	16	14	9	1	0
1140	1	2	0	17	5	6	1	0
1150	1	2	0	18	4	9	1	0
1361	1	2	0	19	13	0	1	0
1393	1	2	0	20	15	10	1	0
1154	1	2	0	21	6	11	1	0
-1		1	2	0	22	-1	-1	1	0
1144	1	2	0	23	4	7	1	0
1383	1	2	0	24	14	7	1	0
1397	1	2	0	25	13	12	1	0
1158	1	2	0	26	5	12	1	0
1148	1	2	0	27	6	9	1	0
1387	1	2	0	28	15	8	1	0
1401	1	2	0	29	14	13	1	0
1162	1	2	0	30	4	13	1	0
1166	1	2	0	31	6	15	1	0
1405	1	2	0	32	15	14	1	0
1391	1	2	0	33	13	10	1	0
1152	1	2	0	34	5	10	1	0
1156	1	2	0	35	4	11	1	0
1382	1	2	0	36	13	7	1	0
1395	1	2	0	37	14	11	1	0
1137	1	2	0	38	5	5	1	0
1141	1	2	0	39	4	6	1	0
1378	1	2	0	40	15	5	1	0
1399	1	2	0	41	15	12	1	0
1160	1	2	0	42	6	13	1	0
1145	1	2	0	43	6	8	1	0
1386	1	2	0	44	14	8	1	0
-1		1	2	0	45	-1	-1	1	0
1403	1	2	0	46	13	14	1	0
1164	1	2	0	47	5	14	1	0
1149	1	2	0	48	5	9	1	0
1390	1	2	0	49	15	9	1	0
1407	1	2	0	50	14	15	1	0
1153	1	2	0	51	4	10	1	0
1168	1	2	0	52	4	15	1	0
1394	1	2	0	53	13	11	1	0
1398	1	2	0	54	14	12	1	0
1122	1	2	0	55	5	0	1	0
-1		1	2	0	56	-1	-1	1	0
1157	1	2	0	57	6	12	1	0
1365	1	2	0	58	14	1	1	0
1402	1	2	0	59	15	13	1	0
1126	1	2	0	60	4	1	1	0
1161	1	2	0	61	5	13	1	0
1373	1	2	0	62	13	4	1	0
1406	1	2	0	63	13	15	1	0
1134	1	2	0	64	5	4	1	0
1165	1	2	0	65	4	14	1	0
1130	1	2	0	66	6	3	1	0
1369	1	2	0	67	15	2	1	0
1271	1	2	1	0	13	18	1	0
1032	1	2	1	1	5	18	1	0
1281	1	2	1	2	14	21	1	0
1267	1	2	1	3	15	16	1	0
1042	1	2	1	4	4	21	1	0
1028	1	2	1	5	6	17	1	0
1285	1	2	1	6	15	22	1	0
1275	1	2	1	7	14	19	1	0
1046	1	2	1	8	6	23	1	0
1036	1	2	1	9	4	19	1	0
1289	1	2	1	10	13	24	1	0
-1		1	2	1	11	-1	-1	1	0
1279	1	2	1	12	15	20	1	0
1050	1	2	1	13	5	24	1	0
1040	1	2	1	14	6	21	1	0
1283	1	2	1	15	13	22	1	0
1293	1	2	1	16	14	25	1	0
1044	1	2	1	17	5	22	1	0
1054	1	2	1	18	4	25	1	0
1265	1	2	1	19	13	16	1	0
1297	1	2	1	20	15	26	1	0
1058	1	2	1	21	6	27	1	0
-1		1	2	1	22	-1	-1	1	0
1048	1	2	1	23	4	23	1	0
1287	1	2	1	24	14	23	1	0
1301	1	2	1	25	13	28	1	0
1062	1	2	1	26	5	28	1	0
1052	1	2	1	27	6	25	1	0
1291	1	2	1	28	15	24	1	0
1305	1	2	1	29	14	29	1	0
1066	1	2	1	30	4	29	1	0
1070	1	2	1	31	6	31	1	0
1309	1	2	1	32	15	30	1	0
1295	1	2	1	33	13	26	1	0
1056	1	2	1	34	5	26	1	0
1060	1	2	1	35	4	27	1	0
1286	1	2	1	36	13	23	1	0
1299	1	2	1	37	14	27	1	0
1041	1	2	1	38	5	21	1	0
1045	1	2	1	39	4	22	1	0
1282	1	2	1	40	15	21	1	0
1303	1	2	1	41	15	28	1	0
1064	1	2	1	42	6	29	1	0
1049	1	2	1	43	6	24	1	0
1290	1	2	1	44	14	24	1	0
-1		1	2	1	45	-1	-1	1	0
1307	1	2	1	46	13	30	1	0
1068	1	2	1	47	5	30	1	0
1053	1	2	1	48	5	25	1	0
1294	1	2	1	49	15	25	1	0
1311	1	2	1	50	14	31	1	0
1057	1	2	1	51	4	26	1	0
1072	1	2	1	52	4	31	1	0
1298	1	2	1	53	13	27	1	0
1302	1	2	1	54	14	28	1	0
1026	1	2	1	55	5	16	1	0
-1		1	2	1	56	-1	-1	1	0
1061	1	2	1	57	6	28	1	0
1269	1	2	1	58	14	17	1	0
1306	1	2	1	59	15	29	1	0
1030	1	2	1	60	4	17	1	0
1065	1	2	1	61	5	29	1	0
1277	1	2	1	62	13	20	1	0
1310	1	2	1	63	13	31	1	0
1038	1	2	1	64	5	20	1	0
1069	1	2	1	65	4	30	1	0
1034	1	2	1	66	6	19	1	0
1273	1	2	1	67	15	18	1	0
714		1	2	2	0	6	35	1	0
780		1	2	2	1	7	41	1	0
749		1	2	2	2	4	46	1	0
718		1	2	2	3	5	36	1	0
739		1	2	2	4	5	43	1	0
784		1	2	2	5	8	42	1	0
745		1	2	2	6	5	45	1	0
710		1	2	2	7	4	33	1	0
743		1	2	2	8	4	44	1	0
776		1	2	2	9	9	39	1	0
741		1	2	2	10	6	44	1	0
-1		1	2	2	11	-1	-1	1	0
706		1	2	2	12	5	32	1	0
747		1	2	2	13	6	46	1	0
772		1	2	2	14	8	38	1	0
752		1	2	2	15	4	47	1	0
737		1	2	2	16	4	42	1	0
768		1	2	2	17	7	37	1	0
751		1	2	2	18	5	47	1	0
720		1	2	2	19	6	37	1	0
733		1	2	2	20	5	41	1	0
705		1	2	2	21	6	32	1	0
-1		1	2	2	22	-1	-1	1	0
764		1	2	2	23	9	35	1	0
748		1	2	2	24	5	46	1	0
729		1	2	2	25	6	40	1	0
709		1	2	2	26	5	33	1	0
760		1	2	2	27	8	34	1	0
744		1	2	2	28	6	45	1	0
725		1	2	2	29	4	38	1	0
713		1	2	2	30	4	34	1	0
717		1	2	2	31	6	36	1	0
721		1	2	2	32	5	37	1	0
740		1	2	2	33	4	43	1	0
756		1	2	2	34	7	33	1	0
707		1	2	2	35	4	32	1	0
746		1	2	2	36	4	45	1	0
736		1	2	2	37	5	42	1	0
766		1	2	2	38	8	36	1	0
762		1	2	2	39	7	35	1	0
750		1	2	2	40	6	47	1	0
732		1	2	2	41	6	41	1	0
711		1	2	2	42	6	34	1	0
758		1	2	2	43	9	33	1	0
742		1	2	2	44	5	44	1	0
-1		1	2	2	45	-1	-1	1	0
728		1	2	2	46	4	39	1	0
715		1	2	2	47	5	35	1	0
754		1	2	2	48	8	32	1	0
738		1	2	2	49	6	43	1	0
724		1	2	2	50	5	38	1	0
800		1	2	2	51	9	47	1	0
719		1	2	2	52	4	36	1	0
734		1	2	2	53	4	41	1	0
730		1	2	2	54	5	40	1	0
723		1	2	2	55	6	38	1	0
-1		1	2	2	56	-1	-1	1	0
796		1	2	2	57	8	46	1	0
716		1	2	2	58	4	35	1	0
726		1	2	2	59	6	39	1	0
727		1	2	2	60	5	39	1	0
792		1	2	2	61	7	45	1	0
708		1	2	2	62	6	33	1	0
722		1	2	2	63	4	37	1	0
735		1	2	2	64	6	42	1	0
788		1	2	2	65	9	43	1	0
731		1	2	2	66	4	40	1	0
712		1	2	2	67	5	34	1	0
635		1	2	3	0	4	56	1	0
665		1	2	3	1	9	50	1	0
692		1	2	3	2	9	59	1	0
639		1	2	3	3	6	58	1	0
702		1	2	3	4	7	63	1	0
669		1	2	3	5	7	52	1	0
696		1	2	3	6	7	61	1	0
631		1	2	3	7	5	55	1	0
698		1	2	3	8	9	61	1	0
661		1	2	3	9	8	49	1	0
700		1	2	3	10	8	62	1	0
-1		1	2	3	11	-1	-1	1	0
627		1	2	3	12	6	54	1	0
694		1	2	3	13	8	60	1	0
657		1	2	3	14	7	48	1	0
623		1	2	3	15	4	52	1	0
704		1	2	3	16	9	63	1	0
703		1	2	3	17	8	63	1	0
690		1	2	3	18	7	59	1	0
676		1	2	3	19	8	54	1	0
658		1	2	3	20	8	48	1	0
686		1	2	3	21	9	57	1	0
-1		1	2	3	22	-1	-1	1	0
699		1	2	3	23	7	62	1	0
619		1	2	3	24	5	51	1	0
662		1	2	3	25	9	49	1	0
682		1	2	3	26	8	56	1	0
695		1	2	3	27	9	60	1	0
615		1	2	3	28	6	50	1	0
666		1	2	3	29	7	51	1	0
678		1	2	3	30	7	55	1	0
674		1	2	3	31	9	53	1	0
670		1	2	3	32	8	52	1	0
611		1	2	3	33	4	48	1	0
691		1	2	3	34	8	59	1	0
687		1	2	3	35	7	58	1	0
617		1	2	3	36	4	50	1	0
660		1	2	3	37	7	49	1	0
701		1	2	3	38	9	62	1	0
697		1	2	3	39	8	61	1	0
621		1	2	3	40	6	52	1	0
664		1	2	3	41	8	50	1	0
683		1	2	3	42	9	56	1	0
693		1	2	3	43	7	60	1	0
613		1	2	3	44	5	49	1	0
-1		1	2	3	45	-1	-1	1	0
668		1	2	3	46	9	51	1	0
679		1	2	3	47	8	55	1	0
689		1	2	3	48	9	58	1	0
609		1	2	3	49	6	48	1	0
672		1	2	3	50	7	53	1	0
685		1	2	3	51	8	57	1	0
675		1	2	3	52	7	54	1	0
655		1	2	3	53	5	63	1	0
651		1	2	3	54	6	62	1	0
671		1	2	3	55	9	52	1	0
-1		1	2	3	56	-1	-1	1	0
681		1	2	3	57	7	56	1	0
680		1	2	3	58	9	55	1	0
647		1	2	3	59	4	60	1	0
667		1	2	3	60	8	51	1	0
677		1	2	3	61	9	54	1	0
688		1	2	3	62	8	58	1	0
643		1	2	3	63	5	59	1	0
659		1	2	3	64	9	48	1	0
673		1	2	3	65	8	53	1	0
663		1	2	3	66	7	50	1	0
684		1	2	3	67	7	57	1	0
1481	1	3	0	0	0	8	1	0
1497	1	3	0	1	3	2	1	0
1524	1	3	0	2	3	11	1	0
1485	1	3	0	3	0	12	1	0
1534	1	3	0	4	1	15	1	0
1501	1	3	0	5	1	4	1	0
1528	1	3	0	6	1	13	1	0
1477	1	3	0	7	0	4	1	0
1530	1	3	0	8	3	13	1	0
1493	1	3	0	9	2	1	1	0
1532	1	3	0	10	2	14	1	0
-1		1	3	0	11	-1	-1	1	0
1473	1	3	0	12	0	0	1	0
1526	1	3	0	13	2	12	1	0
1489	1	3	0	14	1	0	1	0
1487	1	3	0	15	0	14	1	0
1536	1	3	0	16	3	15	1	0
1535	1	3	0	17	2	15	1	0
1522	1	3	0	18	1	11	1	0
1508	1	3	0	19	2	6	1	0
1490	1	3	0	20	2	0	1	0
1518	1	3	0	21	3	9	1	0
-1		1	3	0	22	-1	-1	1	0
1531	1	3	0	23	1	14	1	0
1483	1	3	0	24	0	10	1	0
1494	1	3	0	25	3	1	1	0
1514	1	3	0	26	2	8	1	0
1527	1	3	0	27	3	12	1	0
1479	1	3	0	28	0	6	1	0
1498	1	3	0	29	1	3	1	0
1510	1	3	0	30	1	7	1	0
1506	1	3	0	31	3	5	1	0
1502	1	3	0	32	2	4	1	0
1475	1	3	0	33	0	2	1	0
1523	1	3	0	34	2	11	1	0
1519	1	3	0	35	1	10	1	0
1484	1	3	0	36	0	11	1	0
1492	1	3	0	37	1	1	1	0
1533	1	3	0	38	3	14	1	0
1529	1	3	0	39	2	13	1	0
1488	1	3	0	40	0	15	1	0
1496	1	3	0	41	2	2	1	0
1515	1	3	0	42	3	8	1	0
1525	1	3	0	43	1	12	1	0
1480	1	3	0	44	0	7	1	0
-1		1	3	0	45	-1	-1	1	0
1500	1	3	0	46	3	3	1	0
1511	1	3	0	47	2	7	1	0
1521	1	3	0	48	3	10	1	0
1476	1	3	0	49	0	3	1	0
1504	1	3	0	50	1	5	1	0
1517	1	3	0	51	2	9	1	0
1507	1	3	0	52	1	6	1	0
1486	1	3	0	53	0	13	1	0
1482	1	3	0	54	0	9	1	0
1503	1	3	0	55	3	4	1	0
-1		1	3	0	56	-1	-1	1	0
1513	1	3	0	57	1	8	1	0
1512	1	3	0	58	3	7	1	0
1478	1	3	0	59	0	5	1	0
1499	1	3	0	60	2	3	1	0
1509	1	3	0	61	3	6	1	0
1520	1	3	0	62	2	10	1	0
1474	1	3	0	63	0	1	1	0
1491	1	3	0	64	3	0	1	0
1505	1	3	0	65	2	5	1	0
1495	1	3	0	66	1	2	1	0
1516	1	3	0	67	1	9	1	0
1417	1	3	1	0	0	24	1	0
1433	1	3	1	1	3	18	1	0
1460	1	3	1	2	3	27	1	0
1421	1	3	1	3	0	28	1	0
1470	1	3	1	4	1	31	1	0
1437	1	3	1	5	1	20	1	0
1464	1	3	1	6	1	29	1	0
1413	1	3	1	7	0	20	1	0
1466	1	3	1	8	3	29	1	0
1429	1	3	1	9	2	17	1	0
1468	1	3	1	10	2	30	1	0
-1		1	3	1	11	-1	-1	1	0
1409	1	3	1	12	0	16	1	0
1462	1	3	1	13	2	28	1	0
1425	1	3	1	14	1	16	1	0
1423	1	3	1	15	0	30	1	0
1472	1	3	1	16	3	31	1	0
1471	1	3	1	17	2	31	1	0
1458	1	3	1	18	1	27	1	0
1444	1	3	1	19	2	22	1	0
1426	1	3	1	20	2	16	1	0
1454	1	3	1	21	3	25	1	0
-1		1	3	1	22	-1	-1	1	0
1467	1	3	1	23	1	30	1	0
1419	1	3	1	24	0	26	1	0
1430	1	3	1	25	3	17	1	0
1450	1	3	1	26	2	24	1	0
1463	1	3	1	27	3	28	1	0
1415	1	3	1	28	0	22	1	0
1434	1	3	1	29	1	19	1	0
1446	1	3	1	30	1	23	1	0
1442	1	3	1	31	3	21	1	0
1438	1	3	1	32	2	20	1	0
1411	1	3	1	33	0	18	1	0
1459	1	3	1	34	2	27	1	0
1455	1	3	1	35	1	26	1	0
1420	1	3	1	36	0	27	1	0
1428	1	3	1	37	1	17	1	0
1469	1	3	1	38	3	30	1	0
1465	1	3	1	39	2	29	1	0
1424	1	3	1	40	0	31	1	0
1432	1	3	1	41	2	18	1	0
1451	1	3	1	42	3	24	1	0
1461	1	3	1	43	1	28	1	0
1416	1	3	1	44	0	23	1	0
-1		1	3	1	45	-1	-1	1	0
1436	1	3	1	46	3	19	1	0
1447	1	3	1	47	2	23	1	0
1457	1	3	1	48	3	26	1	0
1412	1	3	1	49	0	19	1	0
1440	1	3	1	50	1	21	1	0
1453	1	3	1	51	2	25	1	0
1443	1	3	1	52	1	22	1	0
1422	1	3	1	53	0	29	1	0
1418	1	3	1	54	0	25	1	0
1439	1	3	1	55	3	20	1	0
-1		1	3	1	56	-1	-1	1	0
1449	1	3	1	57	1	24	1	0
1448	1	3	1	58	3	23	1	0
1414	1	3	1	59	0	21	1	0
1435	1	3	1	60	2	19	1	0
1445	1	3	1	61	3	22	1	0
1456	1	3	1	62	2	26	1	0
1410	1	3	1	63	0	17	1	0
1427	1	3	1	64	3	16	1	0
1441	1	3	1	65	2	21	1	0
1431	1	3	1	66	1	18	1	0
1452	1	3	1	67	1	25	1	0
905		1	3	2	0	0	40	1	0
921		1	3	2	1	3	34	1	0
948		1	3	2	2	3	43	1	0
909		1	3	2	3	0	44	1	0
958		1	3	2	4	1	47	1	0
925		1	3	2	5	1	36	1	0
952		1	3	2	6	1	45	1	0
901		1	3	2	7	0	36	1	0
954		1	3	2	8	3	45	1	0
917		1	3	2	9	2	33	1	0
956		1	3	2	10	2	46	1	0
-1		1	3	2	11	-1	-1	1	0
897		1	3	2	12	0	32	1	0
950		1	3	2	13	2	44	1	0
913		1	3	2	14	1	32	1	0
911		1	3	2	15	0	46	1	0
960		1	3	2	16	3	47	1	0
959		1	3	2	17	2	47	1	0
946		1	3	2	18	1	43	1	0
932		1	3	2	19	2	38	1	0
914		1	3	2	20	2	32	1	0
942		1	3	2	21	3	41	1	0
-1		1	3	2	22	-1	-1	1	0
955		1	3	2	23	1	46	1	0
907		1	3	2	24	0	42	1	0
918		1	3	2	25	3	33	1	0
938		1	3	2	26	2	40	1	0
951		1	3	2	27	3	44	1	0
903		1	3	2	28	0	38	1	0
922		1	3	2	29	1	35	1	0
934		1	3	2	30	1	39	1	0
930		1	3	2	31	3	37	1	0
926		1	3	2	32	2	36	1	0
899		1	3	2	33	0	34	1	0
947		1	3	2	34	2	43	1	0
943		1	3	2	35	1	42	1	0
908		1	3	2	36	0	43	1	0
916		1	3	2	37	1	33	1	0
957		1	3	2	38	3	46	1	0
953		1	3	2	39	2	45	1	0
912		1	3	2	40	0	47	1	0
920		1	3	2	41	2	34	1	0
939		1	3	2	42	3	40	1	0
949		1	3	2	43	1	44	1	0
904		1	3	2	44	0	39	1	0
-1		1	3	2	45	-1	-1	1	0
924		1	3	2	46	3	35	1	0
935		1	3	2	47	2	39	1	0
945		1	3	2	48	3	42	1	0
900		1	3	2	49	0	35	1	0
928		1	3	2	50	1	37	1	0
941		1	3	2	51	2	41	1	0
931		1	3	2	52	1	38	1	0
910		1	3	2	53	0	45	1	0
906		1	3	2	54	0	41	1	0
927		1	3	2	55	3	36	1	0
-1		1	3	2	56	-1	-1	1	0
937		1	3	2	57	1	40	1	0
936		1	3	2	58	3	39	1	0
902		1	3	2	59	0	37	1	0
923		1	3	2	60	2	35	1	0
933		1	3	2	61	3	38	1	0
944		1	3	2	62	2	42	1	0
898		1	3	2	63	0	33	1	0
915		1	3	2	64	3	32	1	0
929		1	3	2	65	2	37	1	0
919		1	3	2	66	1	34	1	0
940		1	3	2	67	1	41	1	0
969		1	3	3	0	0	56	1	0
985		1	3	3	1	3	50	1	0
1012	1	3	3	2	3	59	1	0
973		1	3	3	3	0	60	1	0
1022	1	3	3	4	1	63	1	0
989		1	3	3	5	1	52	1	0
1016	1	3	3	6	1	61	1	0
965		1	3	3	7	0	52	1	0
1018	1	3	3	8	3	61	1	0
981		1	3	3	9	2	49	1	0
1020	1	3	3	10	2	62	1	0
-1		1	3	3	11	-1	-1	1	0
961		1	3	3	12	0	48	1	0
1014	1	3	3	13	2	60	1	0
977		1	3	3	14	1	48	1	0
975		1	3	3	15	0	62	1	0
1024	1	3	3	16	3	63	1	0
1023	1	3	3	17	2	63	1	0
1010	1	3	3	18	1	59	1	0
996		1	3	3	19	2	54	1	0
978		1	3	3	20	2	48	1	0
1006	1	3	3	21	3	57	1	0
-1		1	3	3	22	-1	-1	1	0
1019	1	3	3	23	1	62	1	0
971		1	3	3	24	0	58	1	0
982		1	3	3	25	3	49	1	0
1002	1	3	3	26	2	56	1	0
1015	1	3	3	27	3	60	1	0
967		1	3	3	28	0	54	1	0
986		1	3	3	29	1	51	1	0
998		1	3	3	30	1	55	1	0
994		1	3	3	31	3	53	1	0
990		1	3	3	32	2	52	1	0
963		1	3	3	33	0	50	1	0
1011	1	3	3	34	2	59	1	0
1007	1	3	3	35	1	58	1	0
972		1	3	3	36	0	59	1	0
980		1	3	3	37	1	49	1	0
1021	1	3	3	38	3	62	1	0
1017	1	3	3	39	2	61	1	0
976		1	3	3	40	0	63	1	0
984		1	3	3	41	2	50	1	0
1003	1	3	3	42	3	56	1	0
1013	1	3	3	43	1	60	1	0
968		1	3	3	44	0	55	1	0
-1		1	3	3	45	-1	-1	1	0
988		1	3	3	46	3	51	1	0
999		1	3	3	47	2	55	1	0
1009	1	3	3	48	3	58	1	0
964		1	3	3	49	0	51	1	0
992		1	3	3	50	1	53	1	0
1005	1	3	3	51	2	57	1	0
995		1	3	3	52	1	54	1	0
974		1	3	3	53	0	61	1	0
970		1	3	3	54	0	57	1	0
991		1	3	3	55	3	52	1	0
-1		1	3	3	56	-1	-1	1	0
1001	1	3	3	57	1	56	1	0
1000	1	3	3	58	3	55	1	0
966		1	3	3	59	0	53	1	0
987		1	3	3	60	2	51	1	0
997		1	3	3	61	3	54	1	0
1008	1	3	3	62	2	58	1	0
962		1	3	3	63	0	49	1	0
979		1	3	3	64	3	48	1	0
993		1	3	3	65	2	53	1	0
983		1	3	3	66	1	50	1	0
1004	1	3	3	67	1	57	1	0
