pad	cobo	asad	aget	chan	row	col	a[keV/ch] b[keV]
1917	0	2	0	38	21	14	1	0
1913	0	2	0	39	20	13	1	0
1837	0	2	0	40	18	4	1	0
1880	0	2	0	41	20	2	1	0
1899	0	2	0	42	21	8	1	0
1909	0	2	0	43	19	12	1	0
1829	0	2	0	44	17	1	1	0
-1		0	2	0	45	-1	-1	1	0
1884	0	2	0	46	21	3	1	0
1895	0	2	0	47	20	7	1	0
1905	0	2	0	48	21	10	1	0
1825	0	2	0	49	18	0	1	0
1888	0	2	0	50	19	5	1	0
1901	0	2	0	51	20	9	1	0
1891	0	2	0	52	19	6	1	0
1871	0	2	0	53	17	15	1	0
1867	0	2	0	54	18	14	1	0
1887	0	2	0	55	21	4	1	0
-1		0	2	0	56	-1	-1	1	0
1897	0	2	0	57	19	8	1	0
1896	0	2	0	58	21	7	1	0
1863	0	2	0	59	16	12	1	0
1883	0	2	0	60	20	3	1	0
1893	0	2	0	61	21	6	1	0
1904	0	2	0	62	20	10	1	0
1859	0	2	0	63	17	11	1	0
1875	0	2	0	64	21	0	1	0
1889	0	2	0	65	20	5	1	0
1879	0	2	0	66	19	2	1	0
1900	0	2	0	67	19	9	1	0
1755	0	2	1	0	16	24	1	0
1785	0	2	1	1	21	18	1	0
1812	0	2	1	2	21	27	1	0
1759	0	2	1	3	18	26	1	0
1822	0	2	1	4	19	31	1	0
1789	0	2	1	5	19	20	1	0
1816	0	2	1	6	19	29	1	0
1751	0	2	1	7	17	23	1	0
1818	0	2	1	8	21	29	1	0
1781	0	2	1	9	20	17	1	0
1820	0	2	1	10	20	30	1	0
-1		0	2	1	11	-1	-1	1	0
1747	0	2	1	12	18	22	1	0
1814	0	2	1	13	20	28	1	0
1777	0	2	1	14	19	16	1	0
1743	0	2	1	15	16	20	1	0
1824	0	2	1	16	21	31	1	0
1823	0	2	1	17	20	31	1	0
1810	0	2	1	18	19	27	1	0
1796	0	2	1	19	20	22	1	0
1778	0	2	1	20	20	16	1	0
1806	0	2	1	21	21	25	1	0
-1		0	2	1	22	-1	-1	1	0
1819	0	2	1	23	19	30	1	0
1739	0	2	1	24	17	19	1	0
1782	0	2	1	25	21	17	1	0
1802	0	2	1	26	20	24	1	0
1815	0	2	1	27	21	28	1	0
1735	0	2	1	28	18	18	1	0
1786	0	2	1	29	19	19	1	0
1798	0	2	1	30	19	23	1	0
1794	0	2	1	31	21	21	1	0
1790	0	2	1	32	20	20	1	0
1731	0	2	1	33	16	16	1	0
1811	0	2	1	34	20	27	1	0
1807	0	2	1	35	19	26	1	0
1737	0	2	1	36	16	18	1	0
1780	0	2	1	37	19	17	1	0
1821	0	2	1	38	21	30	1	0
1817	0	2	1	39	20	29	1	0
1741	0	2	1	40	18	20	1	0
1784	0	2	1	41	20	18	1	0
1803	0	2	1	42	21	24	1	0
1813	0	2	1	43	19	28	1	0
1733	0	2	1	44	17	17	1	0
-1		0	2	1	45	-1	-1	1	0
1788	0	2	1	46	21	19	1	0
1799	0	2	1	47	20	23	1	0
1809	0	2	1	48	21	26	1	0
1729	0	2	1	49	18	16	1	0
1792	0	2	1	50	19	21	1	0
1805	0	2	1	51	20	25	1	0
1795	0	2	1	52	19	22	1	0
1775	0	2	1	53	17	31	1	0
1771	0	2	1	54	18	30	1	0
1791	0	2	1	55	21	20	1	0
-1		0	2	1	56	-1	-1	1	0
1801	0	2	1	57	19	24	1	0
1800	0	2	1	58	21	23	1	0
1767	0	2	1	59	16	28	1	0
1787	0	2	1	60	20	19	1	0
1797	0	2	1	61	21	22	1	0
1808	0	2	1	62	20	26	1	0
1763	0	2	1	63	17	27	1	0
1779	0	2	1	64	21	16	1	0
1793	0	2	1	65	20	21	1	0
1783	0	2	1	66	19	18	1	0
1804	0	2	1	67	19	25	1	0
10		0	2	2	0	18	35	1	0
76		0	2	2	1	19	41	1	0
45		0	2	2	2	16	46	1	0
14		0	2	2	3	17	36	1	0
35		0	2	2	4	17	43	1	0
80		0	2	2	5	20	42	1	0
41		0	2	2	6	17	45	1	0
6		0	2	2	7	16	33	1	0
39		0	2	2	8	16	44	1	0
72		0	2	2	9	21	39	1	0
37		0	2	2	10	18	44	1	0
-1		0	2	2	11	-1	-1	1	0
2		0	2	2	12	17	32	1	0
43		0	2	2	13	18	46	1	0
68		0	2	2	14	20	38	1	0
48		0	2	2	15	16	47	1	0
33		0	2	2	16	16	42	1	0
64		0	2	2	17	19	37	1	0
47		0	2	2	18	17	47	1	0
16		0	2	2	19	18	37	1	0
29		0	2	2	20	17	41	1	0
1		0	2	2	21	18	32	1	0
-1		0	2	2	22	-1	-1	1	0
60		0	2	2	23	21	35	1	0
44		0	2	2	24	17	46	1	0
25		0	2	2	25	18	40	1	0
5		0	2	2	26	17	33	1	0
56		0	2	2	27	20	34	1	0
40		0	2	2	28	18	45	1	0
21		0	2	2	29	16	38	1	0
9		0	2	2	30	16	34	1	0
13		0	2	2	31	18	36	1	0
17		0	2	2	32	17	37	1	0
36		0	2	2	33	16	43	1	0
52		0	2	2	34	19	33	1	0
3		0	2	2	35	16	32	1	0
42		0	2	2	36	16	45	1	0
32		0	2	2	37	17	42	1	0
62		0	2	2	38	20	36	1	0
58		0	2	2	39	19	35	1	0
46		0	2	2	40	18	47	1	0
28		0	2	2	41	18	41	1	0
7		0	2	2	42	18	34	1	0
54		0	2	2	43	21	33	1	0
38		0	2	2	44	17	44	1	0
-1		0	2	2	45	-1	-1	1	0
24		0	2	2	46	16	39	1	0
11		0	2	2	47	17	35	1	0
50		0	2	2	48	20	32	1	0
34		0	2	2	49	18	43	1	0
20		0	2	2	50	17	38	1	0
96		0	2	2	51	21	47	1	0
15		0	2	2	52	16	36	1	0
30		0	2	2	53	16	41	1	0
26		0	2	2	54	17	40	1	0
19		0	2	2	55	18	38	1	0
-1		0	2	2	56	-1	-1	1	0
92		0	2	2	57	20	46	1	0
12		0	2	2	58	16	35	1	0
22		0	2	2	59	18	39	1	0
23		0	2	2	60	17	39	1	0
